unique_id,customer_id,local_guide,date_year,text,store_name,company_name,text_response,label_name,confidence_score,label_id
0,394,True,2023,This store has cool merchandise. Very stylish and the staff members gives you a warm feeling that you feel appreciated and will help you with all of your needs I need to give them 10 stars! #MrAdidas,Berlin Store Originals,adidas,,positive,0.9633341431617737,1
1,604,True,2022,very friendly kind people. they helped me and my wife a lot we are very happy with our shoes. not all adidas employees are kind in berlin. especially the ones in kudamm are awful stay away from those rude disrespectful ones. i will continue shopping from this store for sure thanks again you guys made my day 🙏🏻 …,Berlin Store Originals,adidas,,positive,0.8832324743270874,1
2,528,True,2023,Was keen to visit hoping to find some German based originals but all in all no different to UK stores and at current exchange rate is more expensive so did not purchase anything.,Berlin Store Originals,adidas,,neutral,0.45498424768447876,0
3,591,True,2024,Lots of different choices ive never seen before. Definitely for adidas fans,Berlin Store Originals,adidas,,positive,0.40432214736938477,1
4,336,False,2023,The person on a cash register didn’t answer my question and decided to say that the sneakers are not according to his assumption of my gender. …,Berlin Store Originals,adidas,,neutral,0.46623674035072327,0
5,37,True,2022,"I wanted to purchase shoes for my son, they didn't have it in store so they have helped me ordering them online and they made sure that I will receive them to my hotel. …",Berlin Store Originals,adidas,,neutral,0.3715580403804779,0
6,357,True,2023,Very small shop i use it just for infos about products that i will buy online.,Berlin Store Originals,adidas,,positive,0.4537014663219452,1
7,53,True,2023,Not bad,Berlin Store Originals,adidas,,positive,0.5916357636451721,1
8,72,True,2023,"Great shop to go to, very helpful staff. Tried various NMDs for the right fit and ordered them online in my preferred right size and colors.",Berlin Store Originals,adidas,,positive,0.9241026043891907,1
9,416,True,2024,Friendly staff,Berlin Store Originals,adidas,,positive,0.6642562747001648,1
10,416,True,2024,Friendly staff,Berlin Store Originals,adidas,,positive,0.6642562747001648,1
11,642,True,2022,Very friendly staff. Helped me select out the shoes too. I also went there to exchange my shoes once and they were quite helpful in that regard also.,Berlin Store Originals,adidas,,positive,0.9466918110847473,1
12,17,True,2019,"The store is nice and clean, the workers are attentive but they also allow to to look for your own things without being to intense",Berlin Store Originals,adidas,,positive,0.7597383856773376,1
13,251,True,2022,This outlet has won the prestigious award for being the tiniest Adidas store anywhere globally.,Berlin Store Originals,adidas,,positive,0.8625659942626953,1
14,212,True,2023,"A ok Adidas store, nice and clean",Berlin Store Originals,adidas,,positive,0.9585137963294983,1
15,421,False,2023,the socks i bought are teared. very disappointed.,Berlin Store Originals,adidas,,negative,0.887365460395813,-1
