unique_id,customer_id,local_guide,date_year,text
0,117,True,2024,"Finally, a good Adidas outlet where you can actually find things with good discounts. They have a good amount of different apparels with great discounts ranging from 30%-70%. They also had a good variety of shoes from running, trekking, …"
1,163,False,2024,"Although very extensive collection, online store shows more. Also, they usually have just one variant/colour of shoe. Have better discounts than online store."
2,187,True,2024,"Store is quite big but few selections. It's quite far, but I think it is still a good place to visit because they are located in an outlet area. You can still visit other store if you did not find anything here. I visit this store during cyber week, so I was able to but 8 shoes for a really good price"
3,191,True,2023,Fantastic place to get ur sports stuff. Staffs are super friendly. Lot of choices too. Got 30 to 40% discount on most things
4,177,False,2024,There was alot of things tho it is far away from the center it is still great place if you want something from Adidas
5,19,True,2023,Too many great collections and amazing discounts. Absolutely loved it!
6,125,True,2023,"Very easy to find and service was great.
Choice was not so big."
7,84,True,2023,The place has great deals and good variety
8,117,True,2024,"Finally, a good Adidas outlet where you can actually find things with good discounts. They have a good amount of different apparels with great discounts ranging from 30%-70%. They also had a good variety of shoes from running, trekking, …"
9,90,True,2023,A Few good offers. All sizes weren't available and some items weren't any cheaper than in regular sport shop.
10,23,True,2022,The place is in order. You can find everything at the exact place. It's not a messy outlet. They have mostly sneakers and gym clothes.
11,190,True,2022,"Place is good and price are reasonable,  some time u can get good offers on shoes, there are other outlets around , so good shop to get sport shoes"
12,58,True,2023,"Found many types of fancy modern sneakers, but could not find the old fashioned strong models that I was looking for."
13,110,True,2024,Good...
14,145,True,2023,Good collection and good prices.
15,91,True,2023,So nice shop with big sale
16,104,True,2023,Nothing special. All store looks the same.
17,49,True,2022,Some bargain to be had with Reebok especially going for good prices
18,198,True,2023,Really very cheap
19,47,True,2023,Top
20,92,True,2023,Best sales
21,143,True,2021,Amazing store!
22,138,False,2022,Clean and huge choice
23,156,False,2021,Great place.
24,159,False,2023,Super!
25,201,True,2023,Nothing special
26,150,True,2022,gut
27,139,True,2023,Super
28,22,False,2024,"We received very friendly and courteous service in the Adidas store this morning and wanted to leave another positive response. The seller Mr. Alassani did everything right, that's how you want customer treatment to be, it's very customer-oriented!"
29,197,True,2023,"Top offers, currently there is 20% off everything, from a purchase value of €100. Great. Found shoes again. 👍😊 …"
30,181,True,2023,"Easily accessible, great offers, very nice employees who take care of you and advise you. Thanks to Mr. Lamine"
31,120,False,2023,Selection and price okay. The employee I asked how much an item cost was underground. I couldn't see the price on the item so I walked up to him and politely asked how much the item cost. His answer: “What is your problem???” I said again …
32,108,False,2024,"Nice staff, good selection of shoes and clothing. You always find something. Sometimes things you weren't even looking for 🤗
(like in every outlet!) …"
33,67,True,2024,Great prices and you can get great bargains here.
34,162,False,2023,"High-quality football shoes and training gear at a fair price.
Many thanks to Louisa for being really nice
and great advice. Any time:)"
35,116,True,2023,The store is cleverly located in an industrial area with enough parking spaces in front of the building. The selection is very large and the staff is super friendly.
36,7,True,2023,The store has a good selection. Pleasant coworkers. Good prices. The only point of criticism: There are no bike racks in front of the shop - for a sporting goods manufacturer. It would make sense to simply provide a parking space directly in front of the store with bike racks. Then there is also a full 5 stars.
37,21,True,2024,"The products are suitable, but not all sizes and varieties are available"
38,94,True,2024,"Nice to know
Great selection, keep your eyes open, you can really get a bargain here! ;-)"
39,205,True,2024,"Quite a lot of options, clean, decent, good discounts, polite staff, ready to help"
40,112,True,2023,"Everything is fine, except the staff could be friendlier!
To a “Hello!” Nothing came
Too bad …"
41,38,True,2024,"08/15 selection! Prices not like outlets, quite expensive!"
42,188,True,2023,Recently went shopping here again. Again we had very nice employees here to ask questions. Got everything I wanted. So a perfect purchase. …
43,131,True,2024,"Huge selection of goods, low prices, friendly staff. I just think it's great! I will definitely come back there."
44,179,True,2024,Annoying music. Few good clothes.
45,15,True,2024,"A regular Adidas store, sometimes there are good discounts especially on shoes"
46,174,True,2023,Great bargains on running shoes. Otherwise very large Adidas outlet. Recommended 👍 …
47,137,True,2023,"Great, relaxed and sporty atmosphere!!
The sellers put in a lot of effort, are very helpful and smile!! Yes, unfortunately that is not always a given today... …"
48,195,True,2024,I didn't think the offer was successful.
49,167,True,2024,There are always good offers here.
50,122,True,2023,Great bargain on shoes today. You should go to such outlets without any great expectations. You're either lucky and find something or you're not. I'll try my luck here more often now.
51,75,False,2023,"A large store, a large variety of shoes, at great prices! Courteous and professional service!"
52,68,False,2024,"Good advice, attentive staff. Thanks"
53,98,True,2023,There are no new products. It's a nice store.
54,169,False,2023,"If you're looking for a bargain, you're sure to find one here. However, you should go in without expectations or wishes."
55,1,True,2023,"One of the outlets in the area.
Unfortunately, the prices for an outlet are still so high, especially for the shoes. The competitor Nike has better prices and more selection in this regard. …"
56,53,False,2023,"Absolute impudence. The store has simply closed, it is not stated on the Internet. I've driven an hour here to give something back.
There is nothing on the receipt, the employees didn't inform me, even though I …"
57,16,True,2023,"We went there with slightly different expectations.
The prices don't work at all. You can get it cheaper in every sale. Apart from shoes, I wanted to buy sports equipment for my son for the new school year. But …"
58,146,False,2023,"I've only been to Herzogenaurach so far...of course you shouldn't compare it with that, but I had different expectations"
59,208,True,2023,There are all the outlets in a great service area about an hour from the center
60,118,True,2023,Good selection of men's and women's clothing. Unfortunately not all sizes are available. It's best to ask the staff. There is also a good selection of children's clothing and shoes.
61,11,True,2023,Nice loading
